time,total_up,total_down,total_toll
00:00:00,623,611,4
01:00:00,558,616,2
02:00:00,524,488,3
03:00:00,468,448,5
04:00:00,493,449,3
05:00:00,663,593,5
06:00:00,764,912,4
07:00:00,910,1242,8
08:00:00,1255,1645,23
09:00:00,1397,1931,29
10:00:00,1489,2019,29
11:00:00,1412,1804,22
12:00:00,1326,1522,23
13:00:00,1186,1655,20
14:00:00,1727,1840,32
15:00:00,2041,1772,33
16:00:00,1783,1746,29
17:00:00,1755,1606,38
18:00:00,1371,1385,25
19:00:00,1247,1199,26
20:00:00,1113,1045,14
21:00:00,1041,1011,12
22:00:00,866,840,9
23:00:00,758,674,7
00:00:00,677,587,2
01:00:00,574,514,5
02:00:00,539,437,2
03:00:00,440,404,2
04:00:00,561,414,3
05:00:00,607,614,5
06:00:00,803,850,12
07:00:00,965,1194,14
08:00:00,1187,1486,20
09:00:00,1468,1733,28
10:00:00,1553,1736,32
11:00:00,1580,1626,34
12:00:00,1586,1437,20
13:00:00,1966,1580,19
14:00:00,2335,1786,34
15:00:00,2514,1792,39
16:00:00,2532,1661,37
17:00:00,2311,1570,38
18:00:00,1945,1256,28
19:00:00,1617,1159,32
20:00:00,1466,1016,13
21:00:00,1349,1004,16
22:00:00,1067,795,8
23:00:00,897,663,9
00:00:00,755,576,7
01:00:00,707,472,5
02:00:00,600,396,2
03:00:00,605,317,3
04:00:00,624,367,3
05:00:00,760,507,4
06:00:00,1035,786,17
07:00:00,1148,1170,33
08:00:00,1201,1424,30
09:00:00,1362,1672,36
10:00:00,1422,1717,31
11:00:00,1392,1511,30
12:00:00,1519,1452,28
13:00:00,1854,1730,12
14:00:00,2055,1789,22
15:00:00,2223,1806,38
16:00:00,2078,1683,23
17:00:00,1919,1536,27
18:00:00,1586,1386,26
19:00:00,1296,1236,25
20:00:00,1168,1100,22
21:00:00,829,1043,18
22:00:00,524,797,15
23:00:00,772,735,14
00:00:00,1007,579,10
01:00:00,678,483,3
02:00:00,558,435,4
03:00:00,514,359,2
04:00:00,531,418,2
05:00:00,649,502,5
06:00:00,889,833,3
07:00:00,1060,1158,14
08:00:00,1344,1546,18
09:00:00,1397,1788,40
10:00:00,1491,1839,36
11:00:00,1499,1712,31
12:00:00,1498,1645,25
13:00:00,1964,1809,40
14:00:00,2085,1839,33
15:00:00,2120,1877,33
16:00:00,2140,1781,31
17:00:00,1920,1682,47
18:00:00,1639,1432,28
19:00:00,1378,1289,19
20:00:00,1214,1165,13
21:00:00,1128,1015,12
22:00:00,1031,961,13
23:00:00,869,770,12
00:00:00,644,638,5
01:00:00,528,542,4
02:00:00,546,460,3
04:00:00,520,421,6
05:00:00,695,577,8
06:00:00,774,887,7
07:00:00,1052,1274,18
08:00:00,1255,1591,22
09:00:00,1522,1933,33
10:00:00,1563,1883,34
11:00:00,1474,1665,29
12:00:00,1525,1710,26
13:00:00,1842,1994,36
14:00:00,1993,2160,49
15:00:00,2112,2067,33
16:00:00,2060,1997,39
17:00:00,1954,1840,23
18:00:00,1682,1481,34
19:00:00,1440,1396,23
20:00:00,1323,1300,23
21:00:00,1167,1188,9
22:00:00,962,997,8
23:00:00,848,869,11
00:00:00,788,692,7
01:00:00,619,559,3
02:00:00,592,522,4
03:00:00,518,409,2
04:00:00,545,460,2
05:00:00,717,594,6
06:00:00,875,943,12
07:00:00,1155,1274,15
08:00:00,1327,1606,19
09:00:00,1541,2022,37
10:00:00,1637,2026,33
11:00:00,1597,1841,29
12:00:00,1731,1738,19
13:00:00,1912,2087,30
14:00:00,2133,2341,35
15:00:00,2245,2100,32
16:00:00,2297,2012,29
17:00:00,2000,2024,34
18:00:00,1687,1854,30
19:00:00,1449,1456,26
20:00:00,1296,1424,26
21:00:00,1219,1184,21
22:00:00,994,1041,11
23:00:00,825,869,11
00:00:00,766,732,11
01:00:00,651,606,9
02:00:00,556,495,2
03:00:00,516,457,3
04:00:00,588,464,3
05:00:00,718,626,6
06:00:00,886,950,11
07:00:00,1183,1318,13
08:00:00,1331,1709,22
09:00:00,1583,1956,33
10:00:00,1690,2028,26
11:00:00,1682,1954,34
12:00:00,1782,1837,34
13:00:00,2258,2196,35
14:00:00,2471,2472,36
15:00:00,2491,2241,45
16:00:00,2480,2431,41
17:00:00,2392,2122,58
18:00:00,2065,1350,38
19:00:00,1472,1083,32
20:00:00,1376,570,27
21:00:00,1091,791,22
22:00:00,1051,537,17
23:00:00,792,45,13
00:00:00,692,626,11
01:00:00,624,583,5
02:00:00,537,521,6
03:00:00,485,538,2
04:00:00,547,269,3
05:00:00,641,446,3
06:00:00,779,1046,7
07:00:00,1108,1352,8
08:00:00,1434,1765,14
09:00:00,1737,2255,33
10:00:00,1850,2257,33
11:00:00,1788,2734,35
12:00:00,1740,2188,26
13:00:00,2214,2045,40
14:00:00,2479,2346,24
15:00:00,2573,2425,30
16:00:00,2348,2204,32
17:00:00,2179,1913,31
18:00:00,1601,1898,43
19:00:00,1444,1696,26
20:00:00,1252,1486,13
21:00:00,1095,1276,19
22:00:00,977,1197,11
23:00:00,785,1008,8
00:00:00,638,769,7
01:00:00,593,633,8
02:00:00,492,549,4
03:00:00,465,442,5
04:00:00,534,472,5
05:00:00,623,674,2
06:00:00,809,936,6
07:00:00,1058,1260,20
08:00:00,1346,1723,23
09:00:00,1721,1950,22
10:00:00,1903,2089,39
11:00:00,1861,2181,25
12:00:00,2054,2283,29
13:00:00,2598,2521,36
14:00:00,3080,2704,38
15:00:00,3131,2600,47
16:00:00,2986,2413,28
17:00:00,2832,2156,46
18:00:00,2325,1823,45
19:00:00,1917,1654,25
20:00:00,1757,1409,29
21:00:00,1506,1359,9
22:00:00,1264,1151,24
23:00:00,1002,890,6
00:00:00,838,735,20
01:00:00,722,562,8
02:00:00,642,487,5
03:00:00,557,406,5
04:00:00,596,392,4
05:00:00,838,565,11
06:00:00,1138,927,30
07:00:00,1314,1471,40
08:00:00,1507,1725,70
09:00:00,1739,2216,98
10:00:00,1867,2588,92
11:00:00,1950,2356,71
12:00:00,1949,2135,83
13:00:00,2324,2297,74
14:00:00,2443,2547,88
15:00:00,2699,2302,84
16:00:00,2486,1977,95
17:00:00,2405,1940,87
18:00:00,1846,1671,71
19:00:00,1646,1397,57
20:00:00,1369,1322,34
21:00:00,1245,1265,41
22:00:00,1118,1017,41
23:00:00,791,882,23
00:00:00,663,779,9
01:00:00,578,597,7
02:00:00,585,493,4
03:00:00,536,470,9
04:00:00,514,440,12
05:00:00,670,571,19
06:00:00,834,908,20
07:00:00,1049,1229,35
08:00:00,1285,1718,51
09:00:00,1590,2156,86
10:00:00,1874,2207,77
11:00:00,1975,1980,77
12:00:00,2034,1869,76
13:00:00,2327,2115,89
14:00:00,2687,2212,91
15:00:00,2606,2114,89
16:00:00,2537,1969,85
17:00:00,2279,1910,78
18:00:00,1828,1692,53
19:00:00,1500,1435,43
20:00:00,1346,1351,35
21:00:00,1158,1191,38
22:00:00,1027,1106,27
23:00:00,884,904,25
00:00:00,740,713,26
01:00:00,646,596,11
02:00:00,541,561,5
03:00:00,497,422,8
04:00:00,585,477,9
05:00:00,660,686,20
06:00:00,883,1016,35
07:00:00,1211,1321,42
08:00:00,1467,1833,82
09:00:00,1784,2191,97
10:00:00,1886,2227,98
11:00:00,1483,2007,85
12:00:00,1857,1864,81
13:00:00,2761,2019,75
14:00:00,2612,2103,96
15:00:00,2731,2101,101
16:00:00,2895,2126,108
17:00:00,2398,1963,96
18:00:00,2117,1737,93
19:00:00,1724,1514,75
20:00:00,1589,1359,40
21:00:00,1499,1379,45
22:00:00,1202,1146,31
23:00:00,980,1009,22
00:00:00,884,792,7
01:00:00,825,610,5
02:00:00,663,524,5
03:00:00,564,489,5
04:00:00,671,478,3
05:00:00,809,673,3
06:00:00,1023,1039,12
07:00:00,1248,1437,22
08:00:00,1410,1806,30
09:00:00,1600,2102,39
10:00:00,1872,1900,25
11:00:00,1770,1915,30
12:00:00,2072,1872,32
13:00:00,2608,2111,24
14:00:00,3028,2013,41
15:00:00,2679,2058,27
16:00:00,2425,1942,40
17:00:00,2651,1912,35
18:00:00,2143,1848,88
19:00:00,1653,1514,57
20:00:00,1419,1454,62
21:00:00,1238,1316,48
22:00:00,1102,1151,33
23:00:00,881,1009,28
00:00:00,745,834,17
01:00:00,657,648,16
02:00:00,590,545,8
03:00:00,513,490,5
04:00:00,640,506,6
05:00:00,753,698,13
06:00:00,889,1010,36
07:00:00,1170,1426,45
08:00:00,1542,1757,90
09:00:00,1812,2098,104
10:00:00,1947,2133,97
11:00:00,2083,2041,82
12:00:00,2195,1979,84
13:00:00,2532,2205,88
14:00:00,2738,2362,94
15:00:00,3054,2219,105
16:00:00,2694,2232,120
17:00:00,2902,2380,144
18:00:00,2373,2002,125
19:00:00,1942,1974,95
20:00:00,1702,2004,88
21:00:00,1547,1889,65
22:00:00,1262,1766,58
23:00:00,1001,1376,42
00:00:00,801,1148,24
01:00:00,636,783,13
02:00:00,631,648,11
03:00:00,544,552,6
04:00:00,626,558,14
05:00:00,818,802,21
06:00:00,1015,1222,30
07:00:00,1243,1665,49
08:00:00,1465,2185,54
09:00:00,1761,2427,105
10:00:00,1973,2491,82
11:00:00,1981,2320,101
12:00:00,2161,2106,90
13:00:00,2532,2277,118
14:00:00,2857,2586,120
15:00:00,2837,2401,97
16:00:00,2785,2148,108
17:00:00,2332,2218,107
18:00:00,1797,1945,90
19:00:00,1600,1718,58
20:00:00,1436,1547,57
21:00:00,1291,1347,56
22:00:00,1086,1184,51
23:00:00,891,1060,32
00:00:00,792,840,24
01:00:00,693,658,15
02:00:00,603,577,6
03:00:00,579,502,11
04:00:00,594,479,7
05:00:00,724,700,12
06:00:00,979,1081,36
07:00:00,1213,1448,35
08:00:00,1587,1886,55
09:00:00,1859,2122,78
10:00:00,2087,2225,97
11:00:00,2181,1961,88
12:00:00,1948,1609,58
13:00:00,2826,1744,66
14:00:00,3448,2101,84
15:00:00,3444,2306,100
16:00:00,3309,2262,95
17:00:00,2268,2082,93
18:00:00,2442,1948,93
19:00:00,2261,1671,83
20:00:00,2052,1495,64
21:00:00,1795,1352,59
22:00:00,1585,1144,40
23:00:00,1089,906,41
00:00:00,838,761,21
01:00:00,675,598,14
02:00:00,600,482,5
03:00:00,533,404,8
04:00:00,611,450,5
05:00:00,871,629,20
06:00:00,1144,992,42
07:00:00,1222,1462,57
08:00:00,1400,1784,82
09:00:00,1587,2004,91
10:00:00,1853,2075,75
11:00:00,1882,1991,67
12:00:00,2056,1789,75
13:00:00,2333,1913,78
14:00:00,2724,2053,95
15:00:00,2848,2078,86
16:00:00,2674,1512,75
17:00:00,2381,2166,98
18:00:00,1961,1550,73
19:00:00,1598,1332,60
20:00:00,1389,1222,48
21:00:00,1251,1176,53
22:00:00,1043,1039,38
23:00:00,891,869,37
00:00:00,748,695,11
01:00:00,609,635,10
02:00:00,502,512,7
03:00:00,422,457,5
04:00:00,516,408,5
05:00:00,665,654,7
06:00:00,837,933,23
07:00:00,1025,1319,46
08:00:00,1274,1693,62
09:00:00,1488,2026,103
10:00:00,1763,2031,101
11:00:00,1755,1880,81
12:00:00,1976,1818,63
13:00:00,2489,1906,73
14:00:00,2588,2156,95
15:00:00,2563,2055,92
16:00:00,2461,1994,94
17:00:00,2071,1952,97
18:00:00,1855,1521,73
19:00:00,1551,1364,59
20:00:00,1331,1287,31
21:00:00,1230,1399,39
22:00:00,1076,1117,37
23:00:00,843,916,21
00:00:00,783,770,10
01:00:00,637,658,16
02:00:00,604,538,6
03:00:00,510,514,11
04:00:00,449,450,9
05:00:00,703,645,14
06:00:00,859,894,24
07:00:00,1092,1295,50
08:00:00,1330,1701,62
09:00:00,1466,2000,92
10:00:00,1674,2342,87
11:00:00,1761,2073,82
12:00:00,1793,1812,54
13:00:00,2145,2090,97
14:00:00,2419,2282,111
15:00:00,2613,2114,83
16:00:00,2643,1983,73
17:00:00,2330,1832,89
18:00:00,1827,1568,66
19:00:00,1319,1333,46
20:00:00,1289,1323,40
21:00:00,1165,1236,31
22:00:00,1022,1093,33
23:00:00,924,883,21
00:00:00,793,787,13
01:00:00,630,630,8
02:00:00,571,506,10
03:00:00,499,495,4
04:00:00,599,459,4
05:00:00,639,626,10
06:00:00,846,915,21
07:00:00,1089,1305,45
08:00:00,1249,1615,50
09:00:00,1509,1813,78
10:00:00,1587,1937,75
11:00:00,1629,2007,78
12:00:00,1844,1786,70
13:00:00,2236,2364,71
14:00:00,2405,2259,71
15:00:00,2547,2196,96
16:00:00,2419,1991,89
17:00:00,2149,1947,84
18:00:00,1683,1644,77
19:00:00,1515,1389,53
20:00:00,1355,1270,32
21:00:00,1194,1143,45
22:00:00,1048,1173,40
23:00:00,904,878,24
00:00:00,760,728,11
01:00:00,733,632,12
02:00:00,587,483,7
03:00:00,540,469,4
04:00:00,569,442,9
05:00:00,720,592,16
06:00:00,861,921,26
07:00:00,1069,1301,50
08:00:00,1307,1693,78
09:00:00,1479,2069,82
10:00:00,1817,2109,90
11:00:00,1877,1958,79
12:00:00,1993,1867,78
13:00:00,2357,2343,86
14:00:00,2616,2477,91
15:00:00,1854,2581,97
16:00:00,2689,2455,124
17:00:00,3054,2247,110
18:00:00,2099,2092,114
19:00:00,1624,1986,75
20:00:00,1482,1888,68
21:00:00,1234,1830,50
22:00:00,1177,1643,38
23:00:00,898,1300,24
00:00:00,751,971,23
01:00:00,630,665,14
02:00:00,710,595,17
03:00:00,575,531,9
04:00:00,611,483,6
05:00:00,769,691,14
06:00:00,894,1165,38
07:00:00,1161,1698,47
08:00:00,1452,2126,79
09:00:00,1745,2511,97
10:00:00,1977,2559,116
11:00:00,1801,2225,99
12:00:00,2002,2062,64
13:00:00,2417,2276,85
14:00:00,2766,2245,91
15:00:00,2846,2352,82
16:00:00,2660,2007,87
17:00:00,2412,1818,89
18:00:00,2008,1776,94
19:00:00,1658,1656,61
20:00:00,1467,1435,43
21:00:00,1396,1280,41
22:00:00,1218,1089,46
23:00:00,986,997,31
00:00:00,668,780,24
01:00:00,712,543,15
02:00:00,588,525,11
03:00:00,494,441,6
04:00:00,542,431,7
05:00:00,696,577,13
06:00:00,938,934,26
07:00:00,1087,1346,42
08:00:00,1532,1702,80
09:00:00,2013,1963,85
10:00:00,2251,2015,100
11:00:00,2337,1826,78
12:00:00,2519,1762,49
13:00:00,3065,1942,72
14:00:00,3652,1974,72
15:00:00,3411,2168,85
16:00:00,2996,2064,96
17:00:00,3722,1874,106
18:00:00,2877,1525,93
19:00:00,2164,1264,43
20:00:00,2057,1289,58
21:00:00,1860,1217,56
22:00:00,1521,972,41
23:00:00,1128,791,27
00:00:00,956,609,13
01:00:00,739,525,13
02:00:00,680,425,7
03:00:00,610,371,9
04:00:00,704,380,5
05:00:00,806,502,10
06:00:00,1083,846,35
07:00:00,1393,1275,58
08:00:00,1533,1617,91
09:00:00,1900,1927,104
10:00:00,2082,1963,114
11:00:00,2228,1761,78
12:00:00,2369,1597,61
13:00:00,2704,1888,86
14:00:00,2727,1939,89
15:00:00,3061,1931,91
16:00:00,2851,1820,99
17:00:00,2491,1769,90
18:00:00,2179,1558,67
19:00:00,1691,1349,58
20:00:00,1455,1210,48
21:00:00,1324,1126,36
22:00:00,1173,1018,30
23:00:00,1031,835,29
00:00:00,798,665,23
01:00:00,656,633,16
02:00:00,615,511,4
03:00:00,493,472,8
04:00:00,622,459,13
05:00:00,763,584,5
06:00:00,889,910,26
07:00:00,1056,1283,50
08:00:00,1361,1609,56
09:00:00,1563,1982,114
10:00:00,1899,2016,94
11:00:00,1926,1885,74
12:00:00,2000,1690,103
13:00:00,2432,1868,83
14:00:00,2775,1939,96
15:00:00,2910,1988,75
16:00:00,2650,1844,84
17:00:00,2501,1723,94
18:00:00,2134,1466,89
19:00:00,1693,1303,59
